AltID,AltName,AnnCost,RestBen,AvgCost
0,No Action Plan,0,0,0
D2L3,"Lower Cut, Stewart, Small, Riprap, Closure","496,526",162.5,"3,056"
D2L4,"Lower Cut, Stewart, Small, Riprap w/substrate, Closure","499,260",163.4,"3,055"
D2L1,"Lower Cut, Stewart, Small, Chevron, Closure","513,615",172.1,"2,984"
D2L2,"Lower Cut, Stewart, Small, Chevron w/substrate, Closure","518,462",179.2,"2,893"
E2L1,"Lower Cut, Blue Bell, Sand Burr, Chevron, Closure","721,698",196.1,"3,680"
F2L1,"Lower Cut, Stewart, Blue Bell, Sand Burr, Closure, Chevron","804,896",203.1,"3,963"
E2L2,"Lower Cut, Blue Bell, Sand Burr, Chevron w/substrate, Closure","719,258",203.2,"3,540"
F2L2,"Lower Cut, Stewart, Blue Bell, Sand Burr, Closure, Chevron w/substrate","809,741",210.2,"3,852"
H2L1,"Lower Cut, Blue Bell, Sand Burr, Lower Lake, Closure, Chevron","831,390",217.1,"3,830"
H2L2,"Lower Cut, Blue Bell, Sand Burr, Lower Lake, Closure, Chevron w/substrate","836,488",224.2,"3,731"
I2L3,"Lower Cut, Stewart, Blue Bell, Sand Burr, Lower Lake, Closure, Riprap","927,732",224.5,"4,132"
H2L3,"Lower Cut, Stewart, Blue Bell, Sand Burr, Lower Lake, Closure, Riprap w/substrate","933,020",207.5,"4,496"
G2L1,"Lower Cut, Stewart, Blue Bell, Sand Burr, Lower Lake, Closure, Chevron","944,914",233.1,"4,054"
G2L2,"Lower Cut, Stewart, Blue Bell, Sand Burr, Lower Lake, Closure, Chevron w/substrate","950,447",240.2,"3,957"
J2L1,"Lower Cut, Blue Bell, Sand Burr, Lower Lake, Upper Lake, Upper Cut, Closure, Chevron","1,117,284",252.1,"4,432"
J2L2,"Lower Cut, Blue Bell, Sand Burr, Lower Lake, Upper Lake, Upper Cut, Closure, Chevron w/substrate","1,120,429",259.2,"4,323"
K2L1,"Lower Cut, Stewart, Blue Bell, Sand Burr, Lower Lake, Upper Lake, Upper Cut, Closure, Chevron","1,202,194",262.1,"4,587"
K2L2,"Lower Cut, Stewart, Blue Bell, Sand Burr, Lower Lake, Upper Lake, Upper Cut, Closure, Chevron w/substrate","1,204,094",269.2,"4,473"